relative_path,boxes_processed,mean_abs_diff,max_abs_diff
day3/members/klaus/20_0128.webp,5,0.5686487268518519,52
day3/members/luca/17_0582.webp,5,0.8798195167824074,71
day3/members/luca/18_0517.webp,5,0.9974048755787037,82
day3/members/stevan/20_0682.webp,5,2.2390769675925926,86
day3/members/tien/20_0575.webp,5,4.739592375578703,149
day4/members/allie/11_0161.webp,5,4.379475911458333,141
day4/members/allie/11_0376.webp,5,1.1051251446759258,79
day4/members/bao/12_0438.webp,5,4.182427300347222,133
day4/members/bjorn/10_0670.webp,5,5.75562427662037,149
day4/members/cathal/13_0418.webp,5,1.1290690104166667,120
day4/members/florian/11_0305.webp,5,11.26706271701389,184
day4/members/luca/18_0590.webp,5,0.7448187934027778,55
day4/members/onanong/11_0635.webp,5,1.1394133391203705,100
day4/members/stevan/11_0365.webp,5,0.6335087528935185,84
day4/members/stevan/13_0462.webp,5,3.162353515625,96
day4/members/werner/13_0537.webp,5,0.9917534722222222,83
day4/members/werner/14_0045.webp,5,1.1306694878472223,86
day1/members/allie/09_0160.webp,4,0.6826533564814815,60
day1/members/allie/10_0099.webp,4,0.7270417390046297,69
day1/members/allie/10_0296.webp,4,0.7674153645833334,76
day1/members/bjorn/10_0088.webp,4,0.6457790798611112,68
day1/members/bjorn/11_0116.webp,4,0.8856608072916666,94
day1/members/bjorn/15_0004.webp,4,0.7337782118055556,88
day1/members/cathal/12_0342.webp,4,1.4646809895833333,69
day1/members/cathal/15_0162.webp,4,1.1648582175925926,92
day1/members/cathal/15_0298.webp,4,1.7887008101851851,97
day1/members/florian/15_0199.webp,4,1.714771412037037,123
day1/members/florian/18_0042.webp,4,1.4239818431712963,98
day1/members/klaus/17_0521.webp,4,1.6900951244212963,86
day1/members/onanong/10_0201.webp,4,0.6047996238425926,60
day1/members/onanong/14_0681.webp,4,1.6594057436342593,83
day1/members/onanong/15_0060.webp,4,2.7729040075231484,188
day1/members/stevan/10_0179.webp,4,1.3246708622685186,88
day1/members/stevan/10_0250.webp,4,1.6339699074074074,117
day1/members/stevan/18_0567.webp,4,1.1281105324074074,87
day1/members/tien/10_0032.webp,4,0.4428439670138889,62
day1/members/tien/10_0152.webp,4,0.5842918113425926,63
day1/members/werner/19_0438.webp,4,1.3530092592592593,100
day2/members/allie/10_0201.webp,4,1.1153971354166667,68
day2/members/bjorn/20_0121.webp,4,1.7303602430555556,116
day2/members/cathal/10_0597.webp,4,1.2823802806712963,83
day2/members/cathal/11_0012.webp,4,1.4743200231481481,79
day2/members/klaus/13_0148.webp,4,2.0790473090277777,102
day2/members/klaus/13_0331.webp,4,2.2444932725694446,104
day2/members/klaus/18_0506.webp,4,0.7720992476851852,85
day2/members/luca/10_0586.webp,4,1.0284469039351851,82
day2/members/luca/10_0654.webp,4,1.5185366030092593,87
day2/members/luca/20_0211.webp,4,0.8288393373842593,91
day3/members/allie/18_0535.webp,4,1.1263292100694444,101
day3/members/bjorn/12_0147.webp,4,0.5245225694444444,61
day3/members/bjorn/14_0678.webp,4,0.5613606770833334,52
day3/members/bjorn/19_0152.webp,4,0.47456416377314814,35
day3/members/cathal/09_0099.webp,4,1.1910355179398149,87
day3/members/cathal/09_0355.webp,4,1.9641474971064814,82
day3/members/cathal/09_0625.webp,4,1.488941333912037,69
day3/members/cathal/20_0443.webp,4,1.0741916232638888,91
day3/members/florian/17_0490.webp,4,2.226490162037037,124
day3/members/florian/20_0698.webp,4,0.9641022858796297,74
day3/members/luca/10_0668.webp,4,1.6027470341435186,126
day3/members/luca/11_0192.webp,4,3.1227123119212963,110
day3/members/luca/14_0453.webp,4,0.7821180555555556,95
day3/members/luca/17_0412.webp,4,1.3568522135416667,80
day3/members/luca/18_0524.webp,4,2.5145580150462963,89
day3/members/luca/18_0573.webp,4,0.8281611689814815,72
day3/members/luca/20_0192.webp,4,0.4950358072916667,56
day3/members/stevan/13_0343.webp,4,2.097629123263889,98
day3/members/werner/10_0493.webp,4,0.4329788773148148,63
day4/members/allie/13_0245.webp,4,0.8199146412037037,77
day4/members/cathal/13_0470.webp,4,1.263111255787037,75
day4/members/florian/11_0372.webp,4,0.8952727141203703,82
day4/members/stevan/10_0044.webp,4,1.8119665075231481,94
day4/members/stevan/10_0227.webp,4,1.7001772280092593,86
day4/members/stevan/13_0149.webp,4,0.8683539496527778,47
day4/members/stevan/13_0714.webp,4,0.7254141348379629,75
day1/members/allie/08_0276.webp,3,0.8359555844907407,101
day1/members/allie/09_0647.webp,3,3.181957103587963,114
day1/members/allie/12_0272.webp,3,0.8462185329861112,73
day1/members/allie/18_0412.webp,3,1.7385615596064814,70
day1/members/florian/11_0219.webp,3,2.0579155815972223,108
day1/members/florian/18_0275.webp,3,1.6150987413194444,78
day1/members/luca/14_0698.webp,3,1.1987575954861112,73
day1/members/luca/15_0236.webp,3,0.9052010995370371,56
day1/members/luca/15_0372.webp,3,1.7044089988425926,85
day1/members/stevan/18_0597.webp,3,0.9282859519675926,78
day1/members/tien/08_0310.webp,3,0.4342086226851852,58
day1/members/tien/13_0571.webp,3,0.8637424045138888,79
day1/members/werner/18_0484.webp,3,1.2693051938657407,102
day2/members/bjorn/19_0586.webp,3,1.1271430121527777,61
day2/members/cathal/14_0361.webp,3,0.7252513744212963,69
day2/members/cathal/19_0687.webp,3,0.6764594184027778,59
day2/members/florian/11_0279.webp,3,1.0381311487268519,89
