relative_path,policy_category,attempted_method,artifact_gate_action,final_method,selection_source,privacy_score,utility_score,balanced_score,component_runtime_seconds,output_path,status
day2/members/allie/11_0505.webp,medium_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.5704384756500341,0.8560016917799573,0.9103834734722251,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/allie/11_0505.webp,ok
day2/members/allie/13_0179.webp,no_face,no_action_copy,not_required,no_action_copy,verified_no_face,1.0,1.0,1.0,0.0,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/allie/13_0179.webp,ok
day2/members/allie/13_0355.webp,low_light_or_dim,pixelate,not_required,pixelate,train_fold_category,0.0,0.7973123350112118,0.4291171534835165,0.531057,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/allie/13_0355.webp,ok
day2/members/allie/15_0703.webp,no_face,no_action_copy,not_required,no_action_copy,verified_no_face,1.0,1.0,1.0,0.0,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/allie/15_0703.webp,ok
day2/members/allie/16_0153.webp,single_face,riddle,fallback_layered,layered_blur_downscale_noise,train_fold_category,1.0,0.5366374031910249,0.8519431201062646,0.6810826420443217,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/allie/16_0153.webp,ok
day2/members/allie/16_0556.webp,no_face,no_action_copy,not_required,no_action_copy,verified_no_face,1.0,1.0,1.0,0.0,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/allie/16_0556.webp,ok
day2/members/allie/17_0093.webp,single_face,riddle,fallback_layered,layered_blur_downscale_noise,train_fold_category,1.0,0.5281297061098533,0.8492677817761765,0.6878506420443216,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/allie/17_0093.webp,ok
day2/members/allie/17_0175.webp,single_face,riddle,fallback_layered,layered_blur_downscale_noise,train_fold_category,1.0,0.58179323651926,0.8659545439661963,0.6556026420443216,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/allie/17_0175.webp,ok
day2/members/allie/17_0331.webp,single_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.608619120629901,0.8798886459143135,0.22685115938519357,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/allie/17_0331.webp,ok
day2/members/allie/19_0622.webp,medium_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.5751825190917625,0.8556480740236343,1.0161741612765618,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/allie/19_0622.webp,ok
day2/members/onanong/10_0373.webp,medium_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6460896151029322,0.8885054469410627,0.36355762220259985,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/onanong/10_0373.webp,ok
day2/members/onanong/10_0518.webp,mixed_scale_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.5716850463764157,0.8604870813213229,0.6738494239504591,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/onanong/10_0518.webp,ok
day2/members/onanong/11_0590.webp,single_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.617789520318928,0.8830290831822608,0.20688564204432164,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/onanong/11_0590.webp,ok
day2/members/onanong/11_0615.webp,no_face,no_action_copy,not_required,no_action_copy,verified_no_face,1.0,1.0,1.0,0.0,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/onanong/11_0615.webp,ok
day2/members/onanong/12_0404.webp,mixed_scale_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.5382868519589904,0.8504676229960954,0.6738494239504591,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/onanong/12_0404.webp,ok
day2/members/onanong/14_0193.webp,medium_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6795641005421662,0.8910918521012023,0.7736770106548189,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/onanong/14_0193.webp,ok
day2/members/onanong/14_0331.webp,medium_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6315640114958478,0.8827044301057496,0.44036753299739034,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/onanong/14_0331.webp,ok
day2/members/onanong/16_0168.webp,no_face,no_action_copy,not_required,no_action_copy,verified_no_face,1.0,1.0,1.0,0.0,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/onanong/16_0168.webp,ok
day2/members/onanong/16_0470.webp,no_face,no_action_copy,not_required,no_action_copy,verified_no_face,1.0,1.0,1.0,0.0,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/onanong/16_0470.webp,ok
day2/members/onanong/17_0009.webp,single_face,riddle,fallback_layered,layered_blur_downscale_noise,train_fold_category,1.0,0.6209593459250035,0.8783668481370368,0.6394651593851935,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/onanong/17_0009.webp,ok
