relative_path,output_path,boxes_processed,mean_abs_diff,failure_label,severity,reason
day1/members/cathal/08_0346.webp,outputs/03_anonymisation/03_nullface/images/day1/members/cathal/08_0346.webp,0,0.257577,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day4/members/florian/10_0112.webp,outputs/03_anonymisation/03_nullface/images/day4/members/florian/10_0112.webp,2,1.624367,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/florian/13_0133.webp,outputs/03_anonymisation/03_nullface/images/day1/members/florian/13_0133.webp,1,0.669063,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day2/members/tien/19_0311.webp,outputs/03_anonymisation/03_nullface/images/day2/members/tien/19_0311.webp,2,1.27002,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/werner/08_0688.webp,outputs/03_anonymisation/03_nullface/images/day3/members/werner/08_0688.webp,3,0.721707,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/onanong/11_0042.webp,outputs/03_anonymisation/03_nullface/images/day3/members/onanong/11_0042.webp,2,1.736265,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/luca/18_0573.webp,outputs/03_anonymisation/03_nullface/images/day3/members/luca/18_0573.webp,4,0.828161,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/allie/17_0205.webp,outputs/03_anonymisation/03_nullface/images/day3/members/allie/17_0205.webp,1,1.04834,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/bjorn/18_0629.webp,outputs/03_anonymisation/03_nullface/images/day3/members/bjorn/18_0629.webp,5,4.642976,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/florian/19_0349.webp,outputs/03_anonymisation/03_nullface/images/day3/members/florian/19_0349.webp,0,0.280997,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day3/members/cathal/11_0509.webp,outputs/03_anonymisation/03_nullface/images/day3/members/cathal/11_0509.webp,0,0.264793,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day3/members/allie/17_0399.webp,outputs/03_anonymisation/03_nullface/images/day3/members/allie/17_0399.webp,3,1.143175,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/klaus/09_0114.webp,outputs/03_anonymisation/03_nullface/images/day1/members/klaus/09_0114.webp,5,2.481897,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day4/members/klaus/11_0401.webp,outputs/03_anonymisation/03_nullface/images/day4/members/klaus/11_0401.webp,6,1.049244,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day4/members/luca/14_0559.webp,outputs/03_anonymisation/03_nullface/images/day4/members/luca/14_0559.webp,1,0.360885,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day2/members/bjorn/19_0429.webp,outputs/03_anonymisation/03_nullface/images/day2/members/bjorn/19_0429.webp,0,0.328993,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day1/members/luca/12_0168.webp,outputs/03_anonymisation/03_nullface/images/day1/members/luca/12_0168.webp,0,0.318604,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day4/members/onanong/12_0450.webp,outputs/03_anonymisation/03_nullface/images/day4/members/onanong/12_0450.webp,0,0.247342,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day2/members/cathal/12_0044.webp,outputs/03_anonymisation/03_nullface/images/day2/members/cathal/12_0044.webp,2,1.409216,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/klaus/15_0375.webp,outputs/03_anonymisation/03_nullface/images/day3/members/klaus/15_0375.webp,0,0.334165,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day1/members/onanong/10_0201.webp,outputs/03_anonymisation/03_nullface/images/day1/members/onanong/10_0201.webp,4,0.6048,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day2/members/florian/14_0324.webp,outputs/03_anonymisation/03_nullface/images/day2/members/florian/14_0324.webp,9,7.854203,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day4/members/bao/11_0549.webp,outputs/03_anonymisation/03_nullface/images/day4/members/bao/11_0549.webp,9,1.65965,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/florian/12_0302.webp,outputs/03_anonymisation/03_nullface/images/day3/members/florian/12_0302.webp,1,0.351119,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/allie/12_0570.webp,outputs/03_anonymisation/03_nullface/images/day3/members/allie/12_0570.webp,0,0.182355,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day3/members/tien/09_0391.webp,outputs/03_anonymisation/03_nullface/images/day3/members/tien/09_0391.webp,0,0.295672,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day4/members/luca/10_0077.webp,outputs/03_anonymisation/03_nullface/images/day4/members/luca/10_0077.webp,1,2.608118,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/stevan/20_0090.webp,outputs/03_anonymisation/03_nullface/images/day3/members/stevan/20_0090.webp,0,0.222828,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day3/members/klaus/18_0283.webp,outputs/03_anonymisation/03_nullface/images/day3/members/klaus/18_0283.webp,7,2.798439,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
