method,fold,threshold,train_clusters,test_clusters,positive_train_rate,positive_test_rate,train_oapr_detector_score,variant_set,classifier,cluster_iou
error_hardened_all_raw_histgb_iou0_6,3,0.45,3742,935,0.566809,0.559358,0.942742,all_raw,histgb,0.6
error_hardened_all_raw_histgb_iou0_6,4,0.44,3742,935,0.554249,0.609626,0.933877,all_raw,histgb,0.6
error_hardened_all_raw_histgb_iou0_6,5,0.47,3742,935,0.570283,0.545455,0.941323,all_raw,histgb,0.6
error_hardened_raw_plus_fusions_logreg_iou0_45,1,0.35,3472,869,0.568836,0.559264,0.926915,raw_plus_fusions,logreg,0.45
error_hardened_raw_plus_fusions_logreg_iou0_45,2,0.32,3473,868,0.561474,0.58871,0.921959,raw_plus_fusions,logreg,0.45
error_hardened_raw_plus_fusions_logreg_iou0_45,3,0.35,3473,868,0.575007,0.534562,0.921497,raw_plus_fusions,logreg,0.45
error_hardened_raw_plus_fusions_logreg_iou0_45,4,0.37,3473,868,0.567233,0.565668,0.921169,raw_plus_fusions,logreg,0.45
error_hardened_raw_plus_fusions_logreg_iou0_45,5,0.41,3473,868,0.56205,0.586406,0.919484,raw_plus_fusions,logreg,0.45
error_hardened_raw_plus_fusions_rf_iou0_45,1,0.38,3472,869,0.568836,0.559264,0.943271,raw_plus_fusions,rf,0.45
error_hardened_raw_plus_fusions_rf_iou0_45,2,0.44,3473,868,0.561474,0.58871,0.939943,raw_plus_fusions,rf,0.45
error_hardened_raw_plus_fusions_rf_iou0_45,3,0.38,3473,868,0.575007,0.534562,0.940553,raw_plus_fusions,rf,0.45
error_hardened_raw_plus_fusions_rf_iou0_45,4,0.44,3473,868,0.567233,0.565668,0.939355,raw_plus_fusions,rf,0.45
error_hardened_raw_plus_fusions_rf_iou0_45,5,0.42,3473,868,0.56205,0.586406,0.940204,raw_plus_fusions,rf,0.45
error_hardened_raw_plus_fusions_extra_iou0_45,1,0.63,3472,869,0.568836,0.559264,0.948571,raw_plus_fusions,extra,0.45
error_hardened_raw_plus_fusions_extra_iou0_45,2,0.58,3473,868,0.561474,0.58871,0.946866,raw_plus_fusions,extra,0.45
error_hardened_raw_plus_fusions_extra_iou0_45,3,0.62,3473,868,0.575007,0.534562,0.94553,raw_plus_fusions,extra,0.45
error_hardened_raw_plus_fusions_extra_iou0_45,4,0.58,3473,868,0.567233,0.565668,0.945249,raw_plus_fusions,extra,0.45
error_hardened_raw_plus_fusions_extra_iou0_45,5,0.52,3473,868,0.56205,0.586406,0.945391,raw_plus_fusions,extra,0.45
error_hardened_raw_plus_fusions_histgb_iou0_45,1,0.4,3472,869,0.568836,0.559264,0.955498,raw_plus_fusions,histgb,0.45
error_hardened_raw_plus_fusions_histgb_iou0_45,2,0.42,3473,868,0.561474,0.58871,0.954747,raw_plus_fusions,histgb,0.45
error_hardened_raw_plus_fusions_histgb_iou0_45,3,0.45,3473,868,0.575007,0.534562,0.952747,raw_plus_fusions,histgb,0.45
error_hardened_raw_plus_fusions_histgb_iou0_45,4,0.42,3473,868,0.567233,0.565668,0.95282,raw_plus_fusions,histgb,0.45
error_hardened_raw_plus_fusions_histgb_iou0_45,5,0.45,3473,868,0.56205,0.586406,0.951895,raw_plus_fusions,histgb,0.45
error_hardened_raw_plus_fusions_logreg_iou0_5,1,0.46,3560,890,0.577247,0.489888,0.924715,raw_plus_fusions,logreg,0.5
error_hardened_raw_plus_fusions_logreg_iou0_5,2,0.4,3560,890,0.56236,0.549438,0.920477,raw_plus_fusions,logreg,0.5
error_hardened_raw_plus_fusions_logreg_iou0_5,3,0.46,3560,890,0.550562,0.596629,0.925643,raw_plus_fusions,logreg,0.5
error_hardened_raw_plus_fusions_logreg_iou0_5,4,0.3,3560,890,0.557303,0.569663,0.917756,raw_plus_fusions,logreg,0.5
error_hardened_raw_plus_fusions_logreg_iou0_5,5,0.46,3560,890,0.551404,0.593258,0.916723,raw_plus_fusions,logreg,0.5
error_hardened_raw_plus_fusions_rf_iou0_5,1,0.4,3560,890,0.577247,0.489888,0.941621,raw_plus_fusions,rf,0.5
error_hardened_raw_plus_fusions_rf_iou0_5,2,0.5,3560,890,0.56236,0.549438,0.939651,raw_plus_fusions,rf,0.5
error_hardened_raw_plus_fusions_rf_iou0_5,3,0.41,3560,890,0.550562,0.596629,0.943462,raw_plus_fusions,rf,0.5
error_hardened_raw_plus_fusions_rf_iou0_5,4,0.4,3560,890,0.557303,0.569663,0.937788,raw_plus_fusions,rf,0.5
error_hardened_raw_plus_fusions_rf_iou0_5,5,0.44,3560,890,0.551404,0.593258,0.938435,raw_plus_fusions,rf,0.5
error_hardened_raw_plus_fusions_extra_iou0_5,1,0.67,3560,890,0.577247,0.489888,0.94664,raw_plus_fusions,extra,0.5
error_hardened_raw_plus_fusions_extra_iou0_5,2,0.55,3560,890,0.56236,0.549438,0.946141,raw_plus_fusions,extra,0.5
error_hardened_raw_plus_fusions_extra_iou0_5,3,0.55,3560,890,0.550562,0.596629,0.948813,raw_plus_fusions,extra,0.5
error_hardened_raw_plus_fusions_extra_iou0_5,4,0.54,3560,890,0.557303,0.569663,0.945441,raw_plus_fusions,extra,0.5
error_hardened_raw_plus_fusions_extra_iou0_5,5,0.55,3560,890,0.551404,0.593258,0.944969,raw_plus_fusions,extra,0.5
