fold,relative_path,policy_category,selected_method,selection_source,score,privacy,utility
2,day3/members/stevan/11_0119.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8544515071441918,1.0,0.5425199990579797
2,day3/members/stevan/13_0343.webp,medium_face,blur,train_fold_category,0.8314598189166169,0.9166666666666666,0.6092555636282598
2,day3/members/stevan/17_0661.webp,medium_face,blur,train_fold_category,0.8445050984413237,0.9583333333333334,0.5824058743101654
2,day3/members/stevan/18_0060.webp,mixed_scale_face,layered_blur_downscale_noise,train_fold_category,0.8247317431497669,1.0,0.4464552754207138
2,day3/members/stevan/18_0537.webp,medium_face,blur,train_fold_category,0.8697840494422183,1.0,0.5981811419275986
2,day3/members/stevan/20_0090.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day3/members/stevan/20_0527.webp,small_face,blur,train_fold_category,0.9017671351551132,1.0,0.7034983896198114
2,day3/members/stevan/20_0667.webp,mixed_scale_face,layered_blur_downscale_noise,train_fold_category,0.8560667803140558,1.0,0.5490537714590434
2,day3/members/stevan/20_0682.webp,mixed_scale_face,layered_blur_downscale_noise,train_fold_category,0.8403677047318054,0.9333333333333333,0.6052633986614181
2,day4/members/florian/10_0112.webp,medium_face,blur,train_fold_category,0.8872327851693279,1.0,0.6574316023315367
2,day4/members/florian/10_0427.webp,small_face,blur,train_fold_category,0.7961382873236281,0.8333333333333334,0.6318502451093634
2,day4/members/florian/11_0305.webp,large_face,layered_blur_downscale_noise,train_fold_category,0.811700590815458,0.9333333333333333,0.5144779065948341
2,day4/members/florian/11_0372.webp,small_face,blur,train_fold_category,0.8719570220131421,1.0,0.6048263500363593
2,day4/members/florian/11_0412.webp,small_face,blur,train_fold_category,0.8692504341491896,1.0,0.5985890960546727
2,day4/members/florian/13_0005.webp,small_face,blur,train_fold_category,0.8656376193417223,1.0,0.5845906228394727
2,day4/members/florian/15_0498.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day4/members/florian/18_0559.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day4/members/stevan/10_0044.webp,mixed_scale_face,layered_blur_downscale_noise,train_fold_category,0.8521337719657611,1.0,0.5360039682028135
2,day4/members/stevan/10_0227.webp,medium_face,blur,train_fold_category,0.8772063428211306,1.0,0.6208130967496563
2,day4/members/stevan/10_0629.webp,motion_blur_or_low_sharpness,layered_blur_downscale_noise,train_fold_category,0.7907305637134089,0.8333333333333334,0.6056592133347225
