relative_path,method,face_crop_count,crop_ssim_mean,crop_lpips_mean,facenet_cosine_mean,facenet_reid_rate_050,facenet_reid_rate_060,facenet_reid_rate_070,landmark_pair_rate,landmark_error_mean,landmark_geometry_score,background_preservation_score,face_region_utility_score,metric_status
day4/members/florian/11_0412.webp,layered_blur_downscale_noise,3,0.6447227631520396,0.6123814582824707,0.1684819906949997,0.0,0.0,0.0,0.0,,0.0,0.9980191588401794,0.22565296710321384,ok
day4/members/florian/11_0412.webp,nullface,3,0.7156060188376191,0.31976643204689026,0.14503757655620575,0.0,0.0,0.0,0.3333333333333333,0.08629966745378351,0.7534295215606186,0.9958155751228333,0.5789362784104568,ok
day4/members/florian/11_0412.webp,diffusion_low_step,3,0.6230145923147723,0.40911874175071716,0.3744020164012909,0.3333333333333333,0.0,0.0,0.0,,0.0,0.9980078339576721,0.26479534493362344,ok
day4/members/florian/11_0412.webp,reverse_personalization,3,0.8306436585965525,0.18378277122974396,0.2036982774734497,0.0,0.0,0.0,0.3333333333333333,0.04686895014851302,0.8660887138613913,0.9979590773582458,0.7153560659086886,ok
day1/members/allie/18_0412.webp,blur,3,0.9414873663899712,0.1686691790819168,0.3560517132282257,0.0,0.0,0.0,0.0,,0.0,0.9992783665657043,0.4951859812449509,ok
day1/members/allie/18_0412.webp,pixelate,3,0.9380784935442992,0.23524820804595947,0.5763050317764282,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.416090556518279,0.0,0.9992740154266357,0.5107033538163638,ok
day1/members/allie/18_0412.webp,solid_mask_black,3,0.014058415559080733,0.6349672675132751,0.2849031388759613,0.0,0.0,0.0,0.0,,0.0,0.9986439347267151,0.004920445445678256,ok
day1/members/allie/18_0412.webp,layered_blur_downscale_noise,3,0.8472504385625202,0.5160230994224548,0.2976290285587311,0.0,0.0,0.0,0.0,,0.0,0.9986642599105835,0.29952284782232913,ok
day1/members/allie/18_0412.webp,nullface,3,0.8629306473630368,0.2548637092113495,-0.062449634075164795,0.0,0.0,0.0,0.6666666666666666,0.10893479739348658,0.6887577217328955,0.9939247369766235,0.6967833098551927,ok
day1/members/allie/18_0412.webp,diffusion_low_step,3,0.6659081995612001,0.5075226426124573,0.13899792730808258,0.0,0.0,0.0,1.0,0.748264569526126,0.0,0.9986637830734253,0.41124069065292335,ok
day1/members/allie/18_0412.webp,reverse_personalization,3,0.8738183208233599,0.24066555500030518,0.07176071405410767,0.0,0.0,0.0,1.0,0.45671821413526414,0.0,0.9984354376792908,0.5855036347880234,ok
day2/members/klaus/18_0601.webp,blur,2,0.7219855486515336,0.5829463005065918,0.1352149248123169,0.0,0.0,0.0,0.0,,0.0,0.9991030693054199,0.2526949420280368,ok
day2/members/klaus/18_0601.webp,pixelate,2,0.7053625295804993,0.583785891532898,0.34609174728393555,0.0,0.0,0.0,0.0,,0.0,0.9991026520729065,0.24687688535317473,ok
day2/members/klaus/18_0601.webp,solid_mask_black,2,0.010798234355613622,0.8722367286682129,0.25935062766075134,0.0,0.0,0.0,0.0,,0.0,0.9981348514556885,0.0037793820244647674,ok
day2/members/klaus/18_0601.webp,layered_blur_downscale_noise,2,0.6417828377834118,0.6203473806381226,0.10902883112430573,0.0,0.0,0.0,0.0,,0.0,0.9981395602226257,0.22462399322419413,ok
day2/members/klaus/18_0601.webp,nullface,2,0.7775430960377809,0.2578667998313904,0.12443578243255615,0.0,0.0,0.0,1.0,0.1253426094225022,0.6418782587928509,0.9973177909851074,0.7036762558463214,ok
day2/members/klaus/18_0601.webp,diffusion_low_step,2,0.5737816242823621,0.396558940410614,0.4722048342227936,0.5,0.5,0.0,0.5,0.2505156859803662,0.2842408971989536,0.9981446862220764,0.3986043225932582,ok
