method,relative_path,non_sensitive_ssim
diffusion_low_step,day1/members/allie/10_0099.webp,0.9976692441642699
diffusion_low_step,day4/members/bao/08_0028.webp,0.998340137395318
diffusion_low_step,day1/members/bjorn/18_0340.webp,0.9971252713580631
reverse_personalization,day3/members/stevan/20_0682.webp,0.9960461049609762
reverse_personalization,day1/members/luca/12_0078.webp,0.9981699280475275
reverse_personalization,day3/members/tien/14_0649.webp,0.9973240517778535
reverse_personalization,day2/members/bjorn/16_0250.webp,0.998774522815372
reverse_personalization,day1/members/stevan/10_0179.webp,0.9977290037816958
reverse_personalization,day3/members/werner/08_0619.webp,0.9983193432734269
reverse_personalization,day3/members/tien/10_0512.webp,0.9978363008139334
reverse_personalization,day1/members/werner/14_0048.webp,0.997678525823574
reverse_personalization,day1/members/klaus/17_0206.webp,0.9969921369509988
reverse_personalization,day4/members/florian/11_0412.webp,0.9979379544406579
reverse_personalization,day1/members/allie/18_0412.webp,0.9960139219268352
reverse_personalization,day2/members/klaus/18_0601.webp,0.9983600918100216
reverse_personalization,day4/members/allie/12_0604.webp,0.9976616029518652
reverse_personalization,day1/members/onanong/08_0572.webp,0.9978914702080788
reverse_personalization,day3/members/stevan/09_0286.webp,0.9978752854956084
reverse_personalization,day3/members/tien/20_0434.webp,0.9978600628338024
reverse_personalization,day4/members/werner/18_0362.webp,0.9981561851177935
reverse_personalization,day1/members/cathal/12_0342.webp,0.9981379301371888
reverse_personalization,day3/members/florian/19_0198.webp,0.9983200385694739
reverse_personalization,day4/members/allie/18_0334.webp,0.996712082059526
reverse_personalization,day4/members/werner/09_0017.webp,0.9981818646689785
reverse_personalization,day4/members/werner/12_0528.webp,0.9979056561252571
reverse_personalization,day3/members/bjorn/20_0140.webp,0.9969984037775333
reverse_personalization,day3/members/onanong/15_0413.webp,0.997587230235408
reverse_personalization,day1/members/luca/13_0044.webp,0.997747474365255
reverse_personalization,day4/members/luca/11_0578.webp,0.9981066312840357
reverse_personalization,day4/members/werner/18_0672.webp,0.9982430877153768
reverse_personalization,day2/members/luca/11_0416.webp,0.9976606007173144
reverse_personalization,day1/members/stevan/08_0631.webp,0.9983293924251372
reverse_personalization,day3/members/luca/17_0412.webp,0.997846539406617
reverse_personalization,day4/members/onanong/13_0378.webp,0.9974626449081931
reverse_personalization,day4/members/cathal/13_0074.webp,0.997790574577564
reverse_personalization,day2/members/cathal/19_0687.webp,0.9980554888102287
reverse_personalization,day3/members/luca/13_0698.webp,0.9978877169869405
reverse_personalization,day4/members/allie/09_0480.webp,0.9981035981274212
reverse_personalization,day1/members/luca/18_0040.webp,0.998755132558757
reverse_personalization,day2/members/luca/10_0654.webp,0.997832378845322
reverse_personalization,day3/members/tien/20_0155.webp,0.9971064420387518
reverse_personalization,day1/members/onanong/08_0611.webp,0.9976682954424966
reverse_personalization,day4/members/stevan/13_0714.webp,0.9976363834470904
reverse_personalization,day2/members/florian/12_0020.webp,0.9984540420447744
reverse_personalization,day1/members/cathal/09_0001.webp,0.9954171225636638
reverse_personalization,day1/members/luca/08_0225.webp,0.9985688915101805
reverse_personalization,day1/members/allie/14_0135.webp,0.9979603930981272
reverse_personalization,day1/members/allie/10_0099.webp,0.9977584532679024
reverse_personalization,day4/members/bao/08_0028.webp,0.998340137395318
reverse_personalization,day1/members/bjorn/18_0340.webp,0.9971252713580631
reverse_personalization,day1/members/luca/15_0236.webp,0.9975006553648299
reverse_personalization,day2/members/florian/19_0363.webp,0.9981524506225069
reverse_personalization,day1/members/werner/18_0484.webp,0.9979238076428834
