protocol,model,subgroup,precision,recall,f1,f2,specificity,exploratory_oapr_detector_score,oapr_deployment_detector_score,recall_floor,passes_recall_floor,image_count,tp,fp,fn,source_table,adopted_primary
combined_1000,cv_box_reranker_with_rfdetr_predicted_conditions,edge_or_partial_face,0.9161904761904762,0.910410094637224,0.9132911392405064,0.9115603284902084,,0.9117083939433698,0.9112756912557953,0.85,,376,1443,132,142,08_sliced_rfdetr_detector_experiment,False
combined_1000,error_hardened_rfdetr_clean_logreg_iou0_5,all_images,0.9086740542606038,0.9121595703874184,0.9104134762633996,0.91146032962821,,0.9113744952437324,0.9116362085849349,0.85,True,1000,2378,239,229,12_detector_error_hardening,False
02_egocentric_stress_500,rfdetr_medium_face_030,mixed_scale_face,0.9083665338645418,0.912,0.9101796407185628,0.911270983213429,,0.9111815635660948,0.9114543991898114,0.85,,45,228,23,22,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,no_face,0.0,0.0,0.0,0.0,0.910958904109589,0.910958904109589,0.0910958904109589,0.85,,146,0,18,0,08_sliced_rfdetr_detector_experiment,False
01_baseline_500,fusion_rfdetr_yolo11s_scrfd10g,multi_face,0.8876755070202809,0.917741935483871,0.9024583663758922,0.9115668055110541,,0.9109144003605172,0.9131915101443078,0.85,,280,1138,144,102,08_sliced_rfdetr_detector_experiment,False
combined_1000,fusion_rfdetr_scrfd10g,all_images,0.8741360494725354,0.9217491369390104,0.8973114264376401,0.9118160431054109,,0.9108784005670204,0.9145045547339631,0.85,True,1000,2403,346,204,08_sliced_rfdetr_detector_experiment,False
combined_1000,error_hardened_all_raw_histgb_iou0_5,all_images,0.9400479616306956,0.9021864211737628,0.920728126834997,0.9095127610208816,,0.9106080016347649,0.9078041601812359,0.85,True,1000,2352,150,255,12_detector_error_hardening,False
combined_1000,rfdetr_medium_face_030,small_face,0.8804347826086957,0.9192938209331653,0.8994447871684145,0.9112500000000002,,0.9104456586595304,0.913396961867427,0.85,,229,729,99,64,08_sliced_rfdetr_detector_experiment,False
combined_1000,rfdetr_medium_face_030,medium_face,0.8835341365461847,0.917941585535466,0.9004092769440655,0.9108473640629313,,0.9101177634886876,0.9127272852684042,0.85,,223,660,87,59,08_sliced_rfdetr_detector_experiment,False
combined_1000,error_hardened_all_raw_extra_iou0_5,all_images,0.9418604651162792,0.901035673187572,0.9209958831601646,0.9089150286333386,,0.9101082048735908,0.9070879912418846,0.85,True,1000,2349,145,258,12_detector_error_hardening,False
01_baseline_500,fusion_rfdetr_sliced_yolo11s_scrfd10g,outdoor_or_vehicle_scene,0.6428571428571429,1.0,0.782608695652174,0.9,,0.9099378881987578,0.9392857142857143,0.85,,5,9,5,0,08_sliced_rfdetr_detector_experiment,False
01_baseline_500,fusion_sliced_yolo11s_scrfd10g,outdoor_or_vehicle_scene,0.6428571428571429,1.0,0.782608695652174,0.9,,0.9099378881987578,0.9392857142857143,0.85,,5,9,5,0,08_sliced_rfdetr_detector_experiment,False
combined_1000,error_hardened_rfdetr_clean_extra_iou0_45,all_images,0.9612850082372324,0.8952819332566168,0.9271102284011916,0.9077473553204729,,0.909839314540822,0.9049985962706425,0.85,True,1000,2334,94,273,12_detector_error_hardening,False
02_egocentric_stress_500,rfdetr_medium_face_030,multi_face,0.8875502008032129,0.9162520729684908,0.9016727866177072,0.9103641456582633,,0.9097370641642673,0.9119099039244062,0.85,,276,1105,140,101,08_sliced_rfdetr_detector_experiment,False
combined_1000,error_hardened_raw_plus_fusions_histgb_iou0_5,all_images,0.9455645161290324,0.8995013425393172,0.9219579319834872,0.9083514099783081,,0.9097218072593312,0.9063201767580366,0.85,True,1000,2345,135,262,12_detector_error_hardening,False
combined_1000,error_hardened_rfdetr_clean_logreg_iou0_6,all_images,0.8829826504245109,0.91752972765631,0.8999247554552294,0.9104057242901729,,0.90967377688286,0.9122940190915958,0.85,True,1000,2392,317,215,12_detector_error_hardening,False
combined_1000,error_hardened_raw_plus_fusions_extra_iou0_5,all_images,0.951993490642799,0.8975834292289988,0.9239881539980256,0.9079621294428061,,0.9096256165626356,0.9056191104238307,0.85,True,1000,2340,118,267,12_detector_error_hardening,False
combined_1000,error_hardened_all_raw_extra_iou0_45,all_images,0.950466910272026,0.8979670118910625,0.9234714003944772,0.907997827941975,,0.9095930988550126,0.905724705741887,0.85,True,1000,2341,122,266,12_detector_error_hardening,False
combined_1000,cv_box_reranker_with_sliced_yolo_predicted_conditions,all_images,0.9159891598915988,0.9075565784426544,0.9117533718689788,0.9092306509876258,,0.90944903494413,0.9088183547237918,0.85,True,1000,2366,217,241,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,fusion_rfdetr_yolo11s_scrfd10g,very_small_or_distant_face,0.64,1.0,0.7804878048780487,0.8988764044943821,,0.909121951219512,0.9387191011235956,0.85,,12,16,9,0,08_sliced_rfdetr_detector_experiment,False
combined_1000,fusion_rfdetr_yolo11s_scrfd10g,all_images,0.8313376667807048,0.9321058688147296,0.8788426763110306,0.9100441914463335,,0.9087132504854024,0.9165136292692281,0.85,True,1000,2430,493,177,08_sliced_rfdetr_detector_experiment,False
