label,support,precision,recall,f1,f2,route_eligible,included_in_primary_score,method_id,feature_set,estimator,route_influence
single_face,161,0.5394190871369294,0.8074534161490683,0.6467661691542289,0.7344632768361582,False,True,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,False
small_face,229,0.5328083989501312,0.8864628820960698,0.6655737704918033,0.7825751734772552,False,True,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,False
text_or_screen_risk_in_face_protocol,0,0.0,0.0,0.0,0.0,False,False,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,False
very_small_or_distant_face,52,0.3495934959349593,0.8269230769230769,0.4914285714285714,0.649546827794562,False,True,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,False
downward_egocentric_view,242,0.3191056910569105,0.6487603305785123,0.4277929155313351,0.5376712328767124,False,True,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,False
edge_or_partial_face,376,0.8662790697674418,0.7925531914893617,0.8277777777777777,0.8062770562770563,True,True,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,True
high_clutter,360,0.5824175824175825,0.5888888888888889,0.585635359116022,0.5875831485587583,False,True,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,False
large_face,42,0.253012048192771,0.5,0.336,0.4183266932270916,False,True,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,False
low_light_or_dim,199,0.2388059701492537,0.5628140703517588,0.3353293413173652,0.4426877470355731,False,True,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,False
medium_face,223,0.484593837535014,0.7757847533632287,0.596551724137931,0.6925540432345877,False,True,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,False
mixed_scale_face,171,0.4964285714285714,0.8128654970760234,0.6164079822616408,0.720954356846473,False,True,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,False
motion_blur_or_low_sharpness,194,0.2829373650107991,0.6752577319587629,0.3987823439878234,0.5286521388216303,False,True,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,False
multi_face,556,0.9654545454545456,0.9550359712230216,0.9602169981916816,0.9571016582552272,True,True,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,True
no_face,283,0.8553459119496856,0.96113074204947,0.9051580698835274,0.9379310344827586,True,True,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,True
outdoor_or_vehicle_scene,23,0.0579710144927536,0.6956521739130435,0.1070234113712374,0.217391304347826,False,False,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,False
profile_or_occluded_face,206,0.3893333333333333,0.7087378640776699,0.5025817555938038,0.6088407005838199,False,True,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,False
single_face,161,0.5855855855855856,0.8074534161490683,0.6788511749347258,0.7505773672055427,False,True,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,False
small_face,229,0.5512465373961218,0.868995633187773,0.6745762711864407,0.7791699295223179,False,True,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,False
text_or_screen_risk_in_face_protocol,0,0.0,0.0,0.0,0.0,False,False,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,False
very_small_or_distant_face,52,0.4468085106382978,0.8076923076923077,0.5753424657534246,0.695364238410596,False,True,yolo_scrfd_disagreement__logistic_regression,yolo_scrfd_disagreement,logistic_regression,False
