method,relative_path,non_sensitive_ssim,full_frame_utility,SSIM,privacy_score_legacy
layered_blur_downscale_noise,day1/members/onanong/10_0201.webp,0.9977003346179414,0.9503780853761046,0.9908659511830028,1.0
layered_blur_downscale_noise,day2/members/florian/14_0324.webp,0.9980652733840868,0.5496221520035789,0.9656543657241912,0.9444444444444444
layered_blur_downscale_noise,day4/members/bao/11_0549.webp,0.9977066273882639,0.7510032051852942,0.9795235830647948,1.0
layered_blur_downscale_noise,day3/members/florian/12_0302.webp,0.9986709780664578,0.9699035902476144,0.9951572922926808,1.0
layered_blur_downscale_noise,day3/members/allie/12_0570.webp,0.9983958799987538,0.9697943454449682,0.9965661585013684,1.0
layered_blur_downscale_noise,day3/members/tien/09_0391.webp,0.9981668133573022,0.9810679968411382,0.9952831704099292,1.0
layered_blur_downscale_noise,day4/members/luca/10_0077.webp,0.9979820079928317,0.8780934873600414,0.9906773655870778,1.0
layered_blur_downscale_noise,day3/members/stevan/20_0090.webp,0.997914811355923,0.9770735519827136,0.9953888149709958,1.0
layered_blur_downscale_noise,day3/members/klaus/18_0283.webp,0.9980123972618897,0.7508028395872,0.9797134593925242,1.0
layered_blur_downscale_noise,day4/members/bjorn/08_0670.webp,0.9976965819023117,0.9550754904713884,0.991163118176988,1.0
layered_blur_downscale_noise,day3/members/luca/18_0517.webp,0.9980013273184752,0.8461922447805852,0.9853933609376848,1.0
layered_blur_downscale_noise,day1/members/onanong/14_0049.webp,0.998061244922881,0.8074201516167603,0.984571640065567,1.0
layered_blur_downscale_noise,day1/members/luca/15_0372.webp,0.9979720003856279,0.830550953800657,0.9817550779485276,1.0
layered_blur_downscale_noise,day4/members/cathal/13_0418.webp,0.9983405033122374,0.878666862567488,0.985985524396546,1.0
layered_blur_downscale_noise,day1/members/bjorn/10_0088.webp,0.9980895080333653,0.9544335317282712,0.99139786184705,0.875
layered_blur_downscale_noise,day2/members/werner/10_0252.webp,0.9980229290205086,0.74695828867548,0.9814185338734246,0.75
layered_blur_downscale_noise,day4/members/bjorn/13_0126.webp,0.9977176835667488,0.8599888727903415,0.9855364056110482,1.0
layered_blur_downscale_noise,day1/members/bjorn/11_0116.webp,0.9979857820204027,0.8881423154529542,0.9890299993865906,1.0
layered_blur_downscale_noise,day3/members/klaus/09_0194.webp,0.9984509632367029,0.969888759308828,0.9935891041482948,1.0
layered_blur_downscale_noise,day3/members/klaus/20_0128.webp,0.9968959877231915,0.9159854650065644,0.9898569098741498,1.0
layered_blur_downscale_noise,day1/members/florian/08_0341.webp,0.997915824493369,0.9781410160776542,0.9945528986536596,1.0
layered_blur_downscale_noise,day3/members/cathal/12_0524.webp,0.9979031443063632,0.970067175128468,0.9957699031102818,1.0
layered_blur_downscale_noise,day2/members/onanong/17_0009.webp,0.9975350519723261,0.9540467632103128,0.9927486995435086,1.0
layered_blur_downscale_noise,day3/members/klaus/12_0480.webp,0.9991961472597765,0.972011343200362,0.9989062009316808,1.0
layered_blur_downscale_noise,day1/members/werner/19_0255.webp,0.9979143354154864,0.9408943654239416,0.9920762388438464,0.5
layered_blur_downscale_noise,day1/members/werner/13_0606.webp,0.997721377287547,0.9721220658357206,0.9943280194347623,1.0
layered_blur_downscale_noise,day4/members/bjorn/10_0076.webp,0.997958932120301,0.9738531766561076,0.9947356566990224,1.0
layered_blur_downscale_noise,day3/members/luca/19_0582.webp,0.9981836642161618,0.9723568746171756,0.9959221158742632,1.0
layered_blur_downscale_noise,day1/members/bjorn/18_0134.webp,0.9975206276141391,0.7350651664666661,0.9811102610095992,1.0
